0,1,2,3,4
7.0,,0,0,
2.0,,0,0,
2.0,,0,0,
4.0,,0,0,
2.0,,0,0,
2.0,,0,0,
45.0,,0,0,
43.0,,0,0,
9.0,,0,0,
16.0,,0,0,
29.0,,0,0,
9.0,,0,0,
16.0,,0,0,
13.0,,0,0,
12.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
7.0,,0,0,
8.0,,0,0,
8.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
6.0,,0,0,
5.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
38.0,,0,0,
3.0,,0,0,
0.0,,0,0,
6.0,,0,0,
9.0,,0,0,
13.0,,0,0,
13.0,,0,0,
3.0,,0,0,
4.0,,0,0,
2.0,,0,0,
9.0,,0,0,
3.0,,0,0,
4.0,,0,0,
2.0,,0,0,
66.0,,0,0,
64.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
9.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
15.0,,0,0,
15.0,,0,0,
4.0,,0,0,
4.0,,0,0,
4.0,,0,0,
3.0,,0,0,
2.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
56.0,,0,0,
5.0,,0,0,
1.0,,0,0,
5.0,,0,0,
11.0,,0,0,
100.0,,0,0,
9.0,,0,0,
5.0,,0,0,
23.0,,0,0,
37.0,,0,0,
32.0,,0,0,
0.0,,0,0,
1.0,,0,0,
0.0,,0,0,
4.0,,0,0,
5.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
6.0,,0,0,
0.0,,0,0,
0.0,,0,0,
2.0,,0,0,
2.0,,0,0,
953.0,,0,0,
522.0,,0,0,
28.0,,0,0,
0.0,,0,0,
142.0,,0,0,
170.0,,0,0,
18.0,,0,0,
0.0,,0,0,
94.0,,0,0,
7.0,,0,0,
0.0,,0,0,
1.0,,0,0,
4.0,,0,0,
5.0,,0,0,
125.0,,0,0,
124.0,,0,0,
16.0,,0,0,
10.0,,0,0,
22.0,,0,0,
5.0,,0,0,
5.0,,0,0,
12.0,,0,0,
9.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
3.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
49.0,,0,0,
32.0,,0,0,
4.0,,0,0,
6.0,,0,0,
10.0,,0,0,
4.0,,0,0,
6.0,,0,0,
12.0,,0,0,
12.0,,0,0,
1.0,,0,0,
4.0,,0,0,
5.0,,0,0,
1.0,,0,0,
4.0,,0,0,
105.0,,0,0,
93.0,,0,0,
5.0,,0,0,
4.0,,0,0,
10.0,,0,0,
19.0,,0,0,
5.0,,0,0,
4.0,,0,0,
10.0,,0,0,
6.0,,0,0,
6.0,,0,0,
2.0,,0,0,
2.0,,0,0,
2.0,,0,0,
19.0,,0,0,
19.0,,0,0,
9.0,,0,0,
2.0,,0,0,
2.0,,0,0,
13.0,,0,0,
9.0,,0,0,
2.0,,0,0,
2.0,,0,0,
146.0,,0,0,
22.0,,0,0,
15.0,,0,0,
8.0,,0,0,
2.0,,0,0,
2.0,,0,0,
140.0,,0,0,
135.0,,0,0,
18.0,,0,0,
25.0,,0,0,
52.0,,0,0,
18.0,,0,0,
25.0,,0,0,
5.0,,0,0,
5.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
105.0,,0,0,
7.0,,0,0,
13.0,,0,0,
15.0,,0,0,
9.0,,0,0,
24.0,,0,0,
24.0,,0,0,
7.0,,0,0,
11.0,,0,0,
18.0,,0,0,
7.0,,0,0,
11.0,,0,0,
239.0,,0,0,
238.0,,0,0,
8.0,,0,0,
17.0,,0,0,
14.0,,0,0,
39.0,,0,0,
21.0,,0,0,
21.0,,0,0,
3.0,,0,0,
1.0,,0,0,
8.0,,0,0,
12.0,,0,0,
3.0,,0,0,
1.0,,0,0,
8.0,,0,0,
19.0,,0,0,
16.0,,0,0,
3.0,,0,0,
3.0,,0,0,
6.0,,0,0,
3.0,,0,0,
3.0,,0,0,
46.0,,0,0,
46.0,,0,0,
5.0,,0,0,
10.0,,0,0,
18.0,,0,0,
5.0,,0,0,
10.0,,0,0,
21.0,,0,0,
21.0,,0,0,
5.0,,0,0,
5.0,,0,0,
6.0,,0,0,
16.0,,0,0,
15.0,,0,0,
15.0,,0,0,
4.0,,0,0,
1.0,,0,0,
1.0,,0,0,
5.0,,0,0,
4.0,,0,0,
1.0,,0,0,
1.0,,0,0,
10.0,,0,0,
5.0,,0,0,
0.0,,0,0,
1.0,,0,0,
0.0,,0,0,
35.0,,0,0,
3.0,,0,0,
0.0,,0,0,
5.0,,0,0,
8.0,,0,0,
21.0,,0,0,
20.0,,0,0,
5.0,,0,0,
5.0,,0,0,
10.0,,0,0,
5.0,,0,0,
5.0,,0,0,
23.0,,0,0,
22.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
6.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
18.0,,0,0,
18.0,,0,0,
1.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
1.0,,0,0,
3.0,,0,0,
3.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
44.0,,0,0,
4.0,,0,0,
0.0,,0,0,
10.0,,0,0,
14.0,,0,0,
91.0,,0,0,
20.0,,0,0,
5.0,,0,0,
22.0,,0,0,
47.0,,0,0,
27.0,,0,0,
6.0,,0,0,
2.0,,0,0,
0.0,,0,0,
3.0,,0,0,
5.0,,0,0,
2.0,,0,0,
0.0,,0,0,
1.0,,0,0,
14.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
4.0,,0,0,
413.0,,0,0,
267.0,,0,0,
15.0,,0,0,
0.0,,0,0,
43.0,,0,0,
58.0,,0,0,
13.0,,0,0,
0.0,,0,0,
36.0,,0,0,
16.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
7.0,,0,0,
8.0,,0,0,
4.0,,0,0,
0.0,,0,0,
0.0,,0,0,
1.0,,0,0,
6.0,,0,0,
6.0,,0,0,
1.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
1.0,,0,0,
19.0,,0,0,
19.0,,0,0,
20.0,,0,0,
17.0,,0,0,
2.0,,0,0,
2.0,,0,0,
2.0,,0,0,
18.0,,0,0,
18.0,,0,0,
3.0,,0,0,
5.0,,0,0,
8.0,,0,0,
3.0,,0,0,
5.0,,0,0,
39.0,,0,0,
35.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
9.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
13.0,,0,0,
13.0,,0,0,
0.0,,0,0,
3.0,,0,0,
3.0,,0,0,
0.0,,0,0,
3.0,,0,0,
19.0,,0,0,
19.0,,0,0,
6.0,,0,0,
0.0,,0,0,
8.0,,0,0,
14.0,,0,0,
6.0,,0,0,
0.0,,0,0,
8.0,,0,0,
39.0,,0,0,
3.0,,0,0,
1.0,,0,0,
4.0,,0,0,
8.0,,0,0,
15.0,,0,0,
9.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
65.0,,0,0,
64.0,,0,0,
23.0,,0,0,
11.0,,0,0,
44.0,,0,0,
23.0,,0,0,
11.0,,0,0,
11.0,,0,0,
10.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
2.0,,0,0,
1.0,,0,0,
0.0,,0,0,
21.0,,0,0,
21.0,,0,0,
3.0,,0,0,
14.0,,0,0,
17.0,,0,0,
3.0,,0,0,
14.0,,0,0,
22949.0,,0,0,
19981.0,,0,0,
553.0,,0,0,
212.0,,0,0,
585.0,,0,0,
1350.0,,0,0,
3054.0,,0,0,
3054.0,,0,0,
369.0,,0,0,
235.0,,0,0,
488.0,,0,0,
1092.0,,0,0,
369.0,,0,0,
235.0,,0,0,
488.0,,0,0,
1818.0,,0,0,
1438.0,,0,0,
107.0,,0,0,
253.0,,0,0,
63.0,,0,0,
423.0,,0,0,
107.0,,0,0,
253.0,,0,0,
63.0,,0,0,
5304.0,,0,0,
3932.0,,0,0,
293.0,,0,0,
418.0,,0,0,
965.0,,0,0,
293.0,,0,0,
418.0,,0,0,
2256.0,,0,0,
2098.0,,0,0,
412.0,,0,0,
284.0,,0,0,
212.0,,0,0,
908.0,,0,0,
2918.0,,0,0,
1139.0,,0,0,
101.0,,0,0,
33.0,,0,0,
28.0,,0,0,
162.0,,0,0,
101.0,,0,0,
33.0,,0,0,
28.0,,0,0,
2628.0,,0,0,
1163.0,,0,0,
101.0,,0,0,
35.0,,0,0,
76.0,,0,0,
212.0,,0,0,
101.0,,0,0,
35.0,,0,0,
76.0,,0,0,
4982.0,,0,0,
132.0,,0,0,
238.0,,0,0,
421.0,,0,0,
4305.0,,0,0,
3880.0,,0,0,
378.0,,0,0,
212.0,,0,0,
820.0,,0,0,
1410.0,,0,0,
378.0,,0,0,
212.0,,0,0,
820.0,,0,0,
5850.0,,0,0,
5700.0,,0,0,
64.0,,0,0,
17.0,,0,0,
174.0,,0,0,
255.0,,0,0,
2721.0,,0,0,
2433.0,,0,0,
162.0,,0,0,
105.0,,0,0,
382.0,,0,0,
162.0,,0,0,
105.0,,0,0,
438.0,,0,0,
52.0,,0,0,
1050.0,,0,0,
1050.0,,0,0,
25.0,,0,0,
20.0,,0,0,
56.0,,0,0,
101.0,,0,0,
25.0,,0,0,
20.0,,0,0,
56.0,,0,0,
8249.0,,0,0,
269.0,,0,0,
193.0,,0,0,
169.0,,0,0,
631.0,,0,0,
7000.0,,0,0,
520.0,,0,0,
